"","markername","mean_norm.all_markers.","mean_val.all_markers."
"$P1S","CD45",3.50770407617054,4.58609187803528
"$P2S","CD278",1.45204299952219,2.39871646518406
"$P3S","CD27",0.493961338424671,1.58089530631672
"$P4S","CD57",2.08147110207237,3.05334845887989
"$P5S","CD11b",0.722773027275951,1.61872135551647
"$P6S","CD4",1.7634593031063,2.75518295745619
"$P7S","CD8A",3.19030544088713,4.30149929294833
"$P8S","CD28",1.27069308845213,2.25134787416802
"$P9S","CD274",0.461855386288482,1.37126830268425
"$P10S","CD45RO",1.70749684448729,2.67558940813474
"$P11S","CD134",0.539456761595021,1.40480526464072
"$P12S","CD244",0.226379612469711,1.12794191229656
"$P13S","CD38",3.84917296053689,4.91252361748197
"$P14S","TIM3",-0.320387473646203,0.56444363142861
"$P15S","TIGIT",0.547886437909669,1.49733249437921
"$P16S","CXCR3",3.51705367023699,4.53942768261916
"$P17S","CD137",0.464217863798676,1.42176740565308
"$P18S","CD152",2.03868363872549,3.02508307424954
"$P19S","CD25",0.713632388272557,1.65990527874454
"$P20S","CD272",1.31032138466014,2.39839560148186
"$P21S","CD39",1.44508828887333,2.33367129045071
"$P22S","CD223",2.5580648653101,3.44986681333697
"$P23S","CD101",1.53699219808765,2.51796966471395
"$P24S","CCR7",0.968846934680021,1.92878906436611
"$P25S","CD127",3.4850391830826,4.57233091937797
"$P26S","CD45RA",0.356569730455232,1.30799485886804
"$P27S","KI67",0.243347225841515,1.14288652415949
"$P28S","CD122",0.984682389396444,1.90506593039322
"$P29S","CD95",3.3490749359895,4.36854668901485
"$P30S","CD279",2.0714478738994,3.11145490955859
