"","markername","mean_norm.all_markers.","mean_val.all_markers."
"$P1S","CD45",6.40241747220514,6.02064832343921
"$P2S","CD278",0.941500112405634,0.450401484448993
"$P3S","CD27",0.588438388833457,0.0990642052703254
"$P4S","CD57",2.36937881560169,1.89714283377917
"$P5S","CD11b",0.679871274763186,0.18971251819976
"$P6S","CD4",3.35327665418379,2.93230409927894
"$P7S","CD8A",1.61163510214362,1.14669053039708
"$P8S","CD28",2.45309270169829,2.00956603798338
"$P9S","CD274",0.869209382501211,0.379716986187933
"$P10S","CD45RO",3.11338178902599,2.6808113418657
"$P11S","CD134",1.70162573544492,1.21891589621304
"$P12S","CD244",0.846651076720839,0.350755677015086
"$P13S","CD38",4.1995010004439,3.80623871667732
"$P14S","TIM3",0.81956082190046,0.32761620976745
"$P15S","TIGIT",1.26334827423262,0.792476945814872
"$P16S","CXCR3",5.09565862103611,4.66757603569113
"$P17S","CD137",2.21251018825287,1.77701592971733
"$P18S","CD152",3.70225480360128,3.29218241969399
"$P19S","CD25",1.12849954677458,0.630400528132617
"$P20S","CD272",0.723798134189914,0.233830748479054
"$P21S","CD39",1.32678649515425,0.799532229727716
"$P22S","CD223",0.916285523141918,0.362841160402242
"$P23S","CD101",1.6676582549873,1.18018176552328
"$P24S","CCR7",1.00003742547534,0.495954896657145
"$P25S","CD127",3.79199433742134,3.37183281288936
"$P26S","CD45RA",1.41626217207227,0.937739566805737
"$P27S","KI67",1.93335520922425,1.50893212595372
"$P28S","CD122",1.07138446246513,0.578638305351029
"$P29S","CD95",4.79018014491619,4.36805341287431
"$P30S","CD279",1.59194600538482,1.05980724486802
