"","markername","mean_norm.all_markers.","mean_val.all_markers."
"$P1S","CD45",5.35562825641645,5.60619432637438
"$P2S","CD278",1.14299502167018,0.918767077837203
"$P3S","CD27",0.753405651065347,0.7323811449571
"$P4S","CD57",1.7207149918336,1.5642629495079
"$P5S","CD11b",1.47060545097701,1.12135498600031
"$P6S","CD4",2.37241450018441,2.34899994965097
"$P7S","CD8A",3.08494955881024,3.26477701935594
"$P8S","CD28",0.760639432503203,0.661266563325378
"$P9S","CD274",0.618125934949191,0.508805203122551
"$P10S","CD45RO",1.78569113984599,1.69107603108446
"$P11S","CD134",1.03990920336289,0.931612795553514
"$P12S","CD244",0.799938676051178,0.61748173667423
"$P13S","CD38",3.53833103486938,3.74547778190825
"$P14S","TIM3",0.676682036414277,0.604688173461192
"$P15S","TIGIT",0.995663300549157,0.93720313358432
"$P16S","CXCR3",3.68326398635117,3.78239843387097
"$P17S","CD137",1.06575131279334,1.01968171322588
"$P18S","CD152",2.3615970456284,2.37945878116144
"$P19S","CD25",0.929609923758465,0.855341750214177
"$P20S","CD272",1.4528345121825,1.52758109905079
"$P21S","CD39",1.54810479336305,1.49433153652923
"$P22S","CD223",0.841565951343857,0.551812482219355
"$P23S","CD101",2.0460512849393,2.07240413259546
"$P24S","CCR7",0.847876190676177,0.724718448890033
"$P25S","CD127",3.15270525850754,3.36769023361527
"$P26S","CD45RA",0.974846771029968,0.960517626535769
"$P27S","KI67",1.09391099524811,1.04032207569372
"$P28S","CD122",0.761255246951238,0.662598850184765
"$P29S","CD95",4.37193414991863,4.56766606774125
"$P30S","CD279",1.33846017703441,1.19150628378868
