"","markername","mean_norm.all_markers.","mean_val.all_markers."
"$P1S","CD45",6.24619020392639,6.02064832343921
"$P2S","CD278",0.785272844126879,0.450401484448993
"$P3S","CD27",0.432211120554703,0.0990642052703254
"$P4S","CD57",2.21315154732294,1.89714283377917
"$P5S","CD11b",0.523644006484431,0.18971251819976
"$P6S","CD4",3.19704938590504,2.93230409927894
"$P7S","CD8A",1.45540783386487,1.14669053039708
"$P8S","CD28",2.29686543341954,2.00956603798338
"$P9S","CD274",0.712982114222457,0.379716986187933
"$P10S","CD45RO",2.95715452074723,2.6808113418657
"$P11S","CD134",1.54539846716616,1.21891589621304
"$P12S","CD244",0.690423808442084,0.350755677015086
"$P13S","CD38",4.04327373216514,3.80623871667732
"$P14S","TIM3",0.663333553621705,0.32761620976745
"$P15S","TIGIT",1.10712100595387,0.792476945814872
"$P16S","CXCR3",4.93943135275736,4.66757603569113
"$P17S","CD137",2.05628291997411,1.77701592971733
"$P18S","CD152",3.54602753532253,3.29218241969399
"$P19S","CD25",0.972272278495824,0.630400528132617
"$P20S","CD272",0.567570865911159,0.233830748479054
"$P21S","CD39",1.17055922687549,0.799532229727716
"$P22S","CD223",0.760058254863163,0.362841160402242
"$P23S","CD101",1.51143098670854,1.18018176552328
"$P24S","CCR7",0.843810157196588,0.495954896657145
"$P25S","CD127",3.63576706914259,3.37183281288936
"$P26S","CD45RA",1.26003490379352,0.937739566805737
"$P27S","KI67",1.77712794094549,1.50893212595372
"$P28S","CD122",0.915157194186372,0.578638305351029
"$P29S","CD95",4.63395287663744,4.36805341287431
"$P30S","CD279",1.43571873710607,1.05980724486802
