"","percent_pop"
"HSC",2.0337171001585
"Progenitor_1",2.9001774180651
"Progenitor_2",3.53998150236843
"Progenitor_3",1.01417482343087
"Pre_Pro_B",2.90901363369651
"Pro_B1",1.90741763788969
"Pro_B2",24.5510234857118
"Pre_B1",11.5113799138213
"Pre_B2",16.6135824318507
"Early_Progenitors",11.8250655687364
"Late_Progenitors",10.0098439823728
"Immature_B1",1.92567428175625
"Immature_B2",0.831133712024812
"Mature_B",0.501144874136872
"Mature_Non_B",7.92666963397985
